id,text,task1,task2,task3
8510,may allah help palatine land gaza people also land islam,Supportive,Group,Nation
1127,weak watching shows muslim near ready brave folks n children first watched boy cried pain feel heart makes want strive become better muslim connect allah pray charitable jihad watching inn shaa allah sit sad forget inn shaa allah boys happiness cries changed better everything watched even spoke people gaza snapchat brothers whoever snap watching brothers sisters feel embarrassed like invading space offer support send messages keep spirits high send videos try call let u world watching day day hour hour minute minute islam body feel one pain sadness victorious celebrate allahu ahkbar asalaamu alaikum,Supportive,Group,Nation
7424,women cause said,Non-Supportive,No,No
341,dont call cease fire block aids gaza condone murders palestinian babies children innocent parents genociders holocaust revivers never happening shame israel company,Supportive,Group,Nation
2718,said something like would jail propalestinian protesters criminal already multiple indictments counting fact farright domestic terrorist leader opposed constitution,Non-Supportive,No,No
3877,thyh even host tu turn ther backs america,Non-Supportive,No,No
65,support system finances community resources majority men face forever side note women horrible looking bigger picture men unattracted independent women yes act like dude dude wanted something masculine date dudes,Non-Supportive,No,No
7242,personally laugh loud every one get spend life trying exceed men instead going life trying help way go life trying help need none us alone women getting deserve knew whole time pretended even worse pretended true ridiculous even wrong somehow comeuppance,Non-Supportive,No,No
8443,moaning drizzle perplexingly hope pollution postoperatively scorch defective helmet bored aware brown,Non-Supportive,No,No
2730,win euro penalty wtf rolling floor laughing,Non-Supportive,No,No
1000,really courage live without perfection beautiful imperfections life thank much inspiration life,Non-Supportive,No,No
3419,keep post palestine israel cant propaganda,Supportive,Group,Nation
5477,need socialism strictest way capitalism worst child life money school oligarchs need done away,Non-Supportive,No,No
1876,perfect love u bottom heart bazi red heartfallen leaf,Supportive,Individual,No
738,risk israel ethnic cleansing genocidal motives apartheid regime,Non-Supportive,No,No
2915,football winning losing spirit,Non-Supportive,No,No
9916,money support system resources community thinking faceand know hell fighting upstream think add education list,Non-Supportive,No,No
6488,idea burger analogy support,Non-Supportive,No,No
6621,black lives matter racist movement like antifa like kkk based one premise hate look people like donald huge racist joy reid bigtime racist think black people could n racist surprised barbecue every time cop dies within organization since hate cops much want cops call 911 none overpaid pansies ever pick phone call fire department cops come call emt cops come encourage every cop country walk job see works socalled black lives matter courses know blacks violently hurt even killed blacks call black cops either,Non-Supportive,No,No
9183,chris rock said recent standup comedy show even beyonce hot woman works burger joint could still get jayz jayz works burger joint get beyonce,Non-Supportive,No,No
4317,people supposed destroy defy forms subtle compromise rational protestors ashamed followers leaders,Non-Supportive,No,No
9706,side morered heart love despite short comings,Non-Supportive,No,No
9111,someone want conversation english plz drop msg,Non-Supportive,No,No
8845,ships sinking women children get lifeboats first line says,Non-Supportive,No,No
3730,maybe people lead stop picking fights want get punched mouth maybe people stop indoctrinating children hateful religion really love children,Non-Supportive,No,No
8560,said miss fault,Non-Supportive,No,No
3993,understand word still heart moved,Non-Supportive,No,No
1187,blamed israel hamas backhand index pointing downcomment ur answers logic,Non-Supportive,No,No
6762,050 watch blm supporter eyes hearing honest respectable bullshit statements beliefs getting broken nervous anxious something,Non-Supportive,No,No
1843,literally told biology still accountability,Non-Supportive,No,No
9438,praise god finally got dream wan na soldier,Non-Supportive,No,No
6690,yes racist antiwhite supported racist soros hate white supported antifa racist antiwhite payed soros,Non-Supportive,No,No
3603,scared mind omg grown man never terrified like stand whole whole world,Non-Supportive,No,No
760,necessarily believe says father bad part parcel reasons single,Non-Supportive,No,No
7360,unless ever worked drunk ppl especially women u would understand security nothing wrong,Non-Supportive,No,No
8325,really needed point life encouraging comments also going financial crisis atm suggestions invest money,Non-Supportive,No,No
3911,last girl exactly men getting passports leaving find wife elsewhere much bs last chic put amazing purposefully left status bet safe say speaking got sodefensive stating guy friend statement,Non-Supportive,No,No
4354,love comments going cop tried get guy fell hood sit car middle huge mob trying hurt kill something stupid ass cop side country,Non-Supportive,No,No
3439,see video photos horror gaza positive never even laid eyes live denial genocide,Supportive,Group,Nation
1414,david john colleagues shocked four figure weekly returned,Non-Supportive,No,No
1408,soooo well armed israelis soldiers good wonder need help america give palestinians weapons israelis would lost k citizens k soldiers sq miles land k hostages captured,Non-Supportive,No,No
4452,oh peaceful protester hurt peacefully crossing freeway wednesday afternoon evil patrol vehicle intentionally rammed stupid lives matter,Non-Supportive,No,No
8650,best speech video seen life steve jobs said words end abt die really keep mind die one day whatever want,Non-Supportive,No,No
2927,waste time living someone else life let others opinions drown inner voice really spoke recently told feeling lowest point someone gloating fortune feeling affected many losses time gutter way brings seeking good advice succeeded achieving living lives joy happiness success pick nobody else around help cares losses let wise words happy encouraging successful ones speak deep soul silence critical cruel hateful ones hope everybody feels proud seeking fulfilment giving hope find best life folded handssparklesrainbow,Non-Supportive,No,No
8306,salisuisahmjkn honestly speaking providing human comfortablity best crypto better rough fast wealth growth,Non-Supportive,No,No
4320,second police car literally stopped idiot ground people attacked car dumb like ion even wan na identify human people duck person facepalmingfemale sign makes sick,Non-Supportive,No,No
1704,actually said joao clip screams oh oh oh said joão,Non-Supportive,No,No
939,glad children brave came oppressed gaza show talent messaged standing truth hope enjoying good life,Supportive,Group,Other
5762,support lgbtq community worried stressed homophobics sad get shade sexuality,Supportive,Group,LGBTQ
3941,man great deeds birth doubt,Non-Supportive,No,No
912,know lead anywhere us justice system beyond corrupt least people staying quiet please keep pressure,Non-Supportive,No,No
8928,truly hope kids lucky survive long enough enjoy much better lifw,Non-Supportive,No,No
9465,thank people help blessings child better happened others marked cellular memory locked brain survive need traumahealing horrors,Non-Supportive,No,No
3967,christian support palestine red heart mean free palestine,Supportive,Group,Nation
3557,palestine shaa allah free greetings kenya emotional أللهم ٱنصر بلاد المسلمين والمسلمين في كل مكان,Supportive,Group,Nation
8301,much marvellus miracle world god graceful,Non-Supportive,No,No
2816,seriously guys blame israel blame british made even worse,Supportive,Group,Nation
6223,feeling dismissed mean dismissed insist accept ideology terminology truth understanding prepared feel dissmissed stop someone feel feelings acknowledging rhetoric mean acknowledging black people issue identity people valued others white lives matter absolutely people would consider sh racist let white person say carry sign black lives matter said racist intentions racial therfore raceist real conversations race without race raceism belief raceconfusion would racism racist know start speaking truth talking keep talking around top plenty people make living talking especiallt race,Non-Supportive,No,No
3225,massive reach penalties quarter finals,Non-Supportive,No,No
255,thanks also windows bill gates produced less expensive computer mac copyable software allowed deal even without significant budget available,Non-Supportive,No,No
283,may read receive massive blessings achieve goals life abundant go,Non-Supportive,No,No
7032,chris rock said recent standup comedy show even beyonce hot womanconfusion works burger joint could still get jayz jayz works burger joint get beyonce,Non-Supportive,No,No
7519,hope security man charged action women shame people hate women said good job security shit man,Non-Supportive,No,No
4229,guy car fell folded quicker whore punched stomach,Non-Supportive,No,No
3761,come eliminated penalty loose team play better time,Non-Supportive,No,No
9456,wondering attractive someone need hold realized men need feel needed imagine boyfriend exactly thought good thing blatantly says need support,Non-Supportive,No,No
6342,reason dont support movement bc lot people seems take advantage movement point lives matter need go,Non-Supportive,No,No
2841,empathized way til deflection accountability started thought remember feel n choice ass always choice chose wrong,Non-Supportive,No,No
1794,supreme god kabir nostradamus said four years independence great saint would born india would introduce new knowledge world saint rampal ji maharaj born september prophecy made nostradamus prediction great saint rampal ji maharaj quatrain century l peninsula three seas meet comes ruler prediction astrologer mr gerard crise great saint rampal ji maharaj great man india would tie would forever eradicate violence world,Non-Supportive,No,No
3895,dream becoming rich person live better dream,Non-Supportive,No,No
8725,sad say tears make happy pain ignored women many years mistreated partially fault weird engineer rejected lot many low moment actually one woman tell smart date like seriously,Non-Supportive,No,No
7700,remember ever look bfgf suport lgbt know im hating im loving love see people lgbt people pure everyone scream lgbt love stand actually silently walk around streets awhaha ilovuguys,Supportive,Group,LGBTQ
6112,wait police protesters start calling 911 help lolololol,Non-Supportive,No,No
5652,always brings tears eyes day come palestine given back palestinians love azerbaijan,Supportive,Group,Nation
2279,great man god taken wrong time left tons n tons knowledge world rip steave world never forget,Non-Supportive,No,No
2081,malaysia loves palestine stay strong stay brave alone,Supportive,Group,Nation
1442,judicious sale electronmicroscopically inform hubcap comparably support worth piquant cocktail decorous jealous sun,Non-Supportive,No,No
5823,since country pretty homophobic time see openly lgbt person honestly fucking rare recall like 2 3 times happened sadconfusion get freaking happy proud help stare least inwardly grin makes feel sort free see people like openly proudly gives hope one day like,Non-Supportive,No,No
4815,dude falling flat face hoodface tears joyface tears joyface tears joy hilarious,Non-Supportive,No,No
6940,need young men matter ethnicityconfusion intelligent like young man research instead believing another person type social media said matter researching fact wanted truth,Supportive,Individual,No
5090,palestinians stanton tall grow brilliant well done beautiful well mannered children god bless ever lots love ireland,Supportive,Group,Nation
3010,used watch videos years ago right mentally strong advice everyone else focus negativity people calling police people talking bad damaging reputation pay attention give energy let negative atmosphere long know person matters let change narrative make always happy best revenge also conscience eating daily basis know wrong start acting little weird walking little weird know wrong feel guilty also jesus life helps go church read bible long welcome life every day see changes road,Non-Supportive,No,No
7887,end video looked tried understand wtf 1515,Non-Supportive,No,No
1140,late many people lost homes lost families killed children pray left world made residents paradise luxury unbelievers world little children survived west spread like nobrainer,Non-Supportive,No,No
3704,god bless tough lil guy happy see smile thank lord imagine intense horror gone eyes wide open face pale legs trembling lot still managed stand ground crying face pray go ever,Supportive,Individual,No
5769,understand homophobic people think hide behind religion yet words written books gods beliefs thousands years ago like humans think god evolved physically mentally least pray think super religious even go church believe natural ok gay,Supportive,Group,LGBTQ
2801,really great video make huge profits investment since started trading mrs johnson brina trading strategies top notch,Non-Supportive,No,No
6094,assualt cop ran funny cops defend btw working american paid tax dollars police car vandalizing americans property thugs,Non-Supportive,No,No
2280,israel created state pakistan afghanistan egypt bahrain iraq jordan kuwait libya maldives qatar uae lot know happened nonmuslims lived places muslim majority countries given back also israel ok fox stop hypocrite,Supportive,Group,Nation
7211,get job help bills child support,Non-Supportive,No,No
8527,strongly advise self trading really dangerous brought many investors need someone knowledge strategies someone dedicated crypto currency market business strongly recommend expert mrs karen charles,Non-Supportive,No,No
7682,fuck possible afraid love people world must change,Non-Supportive,No,No
6656,never seen black man get burger drama queen white see human need help help,Non-Supportive,No,No
903,never give learn failure start trying full confidence definitely succeed end really succeedsmiling face smiling eyes,Non-Supportive,No,No
7705,mmmm wan na tell parents im lesbian issue mom said family meeting ur gay straight whatever hell wan na ill love u dad homophobic hell like ive overheard things said bad might come mom tell tell dad also sisters would accept would one bros idk otherconfusion,Non-Supportive,No,No
8615,smile lightens much may allah keep safe make free ameen,Supportive,Group,Other
2109,men average women average,Non-Supportive,No,No
8796,hindus stand israel due hatred muslims,Non-Supportive,No,No
3104,congradulation good harted brave people try pull maskes made lies wealth warpower,Non-Supportive,No,No
3190,noone wants die thats wrong want die mean dont enjoy life anymore dont get,Non-Supportive,No,No
5753,absolutely gorgeous beautiful said wonderfully executed words brought tears,Non-Supportive,No,No
498,sha allah palestine free one day emotional,Supportive,Group,Nation
8607,benjizollman liberation comes peace u want peace opressor victim,Non-Supportive,No,No
457,iam focus concentrate job body always think big business mans world please god give mee millons seat world,Non-Supportive,No,No
3289,reminds merle haggard song fighting side,Non-Supportive,No,No
1892,portugal game game penalty,Non-Supportive,No,No
8988,germany used take loan bank surviver trading expert mrs olivera jane okhumalo changed financial status real,Non-Supportive,No,No
3934,maybe ask hamas neighbor hiding help raise poor child teach love carry bomb,Non-Supportive,No,No
6293,lives matter everybody understands even animals bug lives human life matters another white black pink blue problem one another segregation past seems like something fought hard overcome people fighting get back,Supportive,Group,Other
5320,ok yyall know went thru easy setting goal tons triggers fact whole world triggers terms dreams many hinders even choosing one,Non-Supportive,No,No
5529,far know windows computer everyone opinion back bill gates good man lent helping hand bailed mac closing u r great ur ways highest respect u without consideration better,Non-Supportive,No,No
2781,thank much clapping handsclapping handsloudly crying faceloudly crying face u really inspire thank,Non-Supportive,No,No
1469,masculine energy sweetheart face like seabiscuit,Non-Supportive,No,No
4858,listening came video happened palestine today palestinian people talented nice song meaningful clapping hands philippines stand palestine,Supportive,Group,Nation
8735,sorry people gaza enough powerful help pray heart breaks,Supportive,Group,Nation
3153,hamas fault palestinians israelis deserve,Supportive,Group,Nation
5928,homophobe everyone scrolling looking homophobes ding ding winner get twisted hate gays would rather around particularly sick stomach neither cuss gays see kid homosexual would mad would show would supportive would like would rather kids see healthy heterosexual affection healthy homosexual relationships gay friends long dont kiss make something front hang sight gay affection makes uncomfortable normal heterosexual relationships normal gay affection natural understand messes creation baby makes attracted gender,Non-Supportive,No,No
6839,thing african name title comes leo scipio africanus british colonizer european called black man born european smh slavery job people calling ignorant european caucasian got called africa resources gold silver uranium etc neither know cant tell nationality neither could friend hamite maybe kindred lot people think slavery happened america know slavery started africa america smh people dont research walk around thinking something someone never god never name call us names today oppressor label us today majority slaves went brazil went everywhere thqts god said bible scatter 4 corners world thats slavery boats stop america plus slavery atart im america,Non-Supportive,No,No
6507,think blacklivesmatter extremely racist time raid stores break shit make everything worse think protest racist care race thinks superior 19 year old boy white never get recognized never comes close news paper black man dies cause riot unfair black lives matter eyes extremely racist,Non-Supportive,No,No
6546,black support movement,Non-Supportive,No,No
9324,great content thank breaking even current crypto dip happy smile back portfolio made weekly trade within short period,Non-Supportive,No,No
9200,brain immature said first line like paauuuuuuse loudly crying faceloudly crying faceloudly crying face,Non-Supportive,No,No
8830,heart goes boy needs end,Supportive,Individual,No
8197,listening speech started connecting dots works helps manage life better,Non-Supportive,No,No
4152,im pretty sure black lives matter protest la riot,Non-Supportive,No,No
7928,people disliked video even disliked well made wrong disliked homophobic stop spreading hate receive hate receiving bad looks makes uncomfortable look see make wonderful people afraid open world around feel disliked video uncomfortable seeing sorry 2018 world live deal opinion vid,Non-Supportive,No,No
5072,masha allah happy see smiling free palestine,Supportive,Group,Nation
3925,nothing satisfying getting second chance making,Non-Supportive,No,No
3275,really great video make huge profits investment since started trading mr smart williams trading strategies top notch,Non-Supportive,No,No
7562,thank much story inspiring indeed,Non-Supportive,No,No
3340,focusing whole time need practice preach quit putting peoples business,Non-Supportive,No,No
7900,accent couldnt understand word fast read subtitles,Non-Supportive,No,No
3593,hamas isnt government system leader palestine mahmoud abbas top theyve bleeding years researchlubneejtsisrawsiabxav,Non-Supportive,No,No
1441,lose said football fan ever face open mouth,Non-Supportive,No,No
7986,httpsskeptical annoyed undecided uneasy hesitantyoutubeaqns3vsydd4 need help many bigots,Non-Supportive,No,No
3150,miapdxfor feelings humanity may god almighty raising hands shower choicest blessings upon sister,Supportive,Individual,No
5569,safe reliable genuine highly experienced expert refer mrs pamela morgan,Non-Supportive,No,No
9818,investing crypto cool especially current rise market,Non-Supportive,No,No
2539,deserved golden buzzer revolving heartsgrowing heartlots love strength palestinians praying free independent palestine river sea palestine free red heart sha allahred heart isrealhavetostopthegenocide freepalestine,Supportive,Group,Nation
602,people red heart palestine,Supportive,Group,Nation
4058,help recovered lost trying trade self anyone handle trade believe lucky,Non-Supportive,No,No
919,know truth shut red heartred heartred heart,Non-Supportive,No,No
2759,wow felt sorry first woman started blaming everyone around expect choices led even said pregnant exhusband presumably aborted reason husband pressure well chose even looking quite attractive meaning would able choose pretty much anyone normal guys think two things happened either picked wrong attractive douche family material toxic normal man wanted behavior,Non-Supportive,No,No
5969,sorry genuinely sorry could n help think gru despicable video,Non-Supportive,No,No
6091,abc7 deleting comments support protesters leaving racist comments,Non-Supportive,No,No
2231,life wonderful united ottomans,Non-Supportive,No,No
1780,thus grew learn defend people become resistance oppressors called e r r r big powers world would hate palestinians strong faith red heart,Supportive,Group,Nation
8211,watching polish man love red heart,Non-Supportive,No,No
1869,pensive faceloudly crying facebroken heartpeople need stop killings innocent human beings planned countries world one child dying many must help children children responsibility human beings everyone business everyone responsibility must unite world war agenda destroying humanity world live os going love take care children broken heartbroken heartbroken heartbroken heartbroken heartbroken heartbroken heart,Supportive,Group,Other
7058,get pregnant guy good job unable trap marriage still get government force support child backup plan always rely taxpayers support heart bleeds good luck,Non-Supportive,No,No
9386,hey everyone ik supporting palestine instead using cross mark use go chrome mobile come video copy,Non-Supportive,No,No
1500,wllh crying crying facecrying facecrying facecrying facefalastiini heart heart suit love guys face blowing kissface blowing kissface blowing kissallh keep country,Supportive,Group,Nation
5991,gay people actually support think nothing actually normal earth people may like opposite gender mean people like gender supporting revolving hearts,Supportive,Group,LGBTQ
2762,first said could n afford child financially stable enough later want ivf baby two sentences enough figure state mind,Non-Supportive,No,No
9072,guys know israelis feel,Non-Supportive,No,No
2645,see heartbreaking people us complain,Non-Supportive,No,No
2622,british came see everything going worse,Non-Supportive,No,No
5202,look schools colleges universities shake head powerful want power useful idiots get ism world destroy reached point weak snowflakes broken world,Non-Supportive,No,No
3048,take yiu seen videos palestinians preaching genocide openly genocide jews world wide guess missed videos tgat half naked woman driven around dead pickup truck cheering crowds spit maybe missed palestinians violently tried take jordan lebanon even kuwait maybe time made clear tolerated anymore,Non-Supportive,No,No
4797,donald trump racist peace symbolvote joe biden 2020 post comment 20 videos,Non-Supportive,No,No
2224,zirconboythe ukrainians protecting country point,Non-Supportive,No,No
2126,odisha th standard speech subject english book sub named stay hungry stay foolish really one best motivational speech ever,Non-Supportive,No,No
3161,understand love muslims pakistan love u palustine,Non-Supportive,No,No
8568,okay first woman exactly situation somebody else fault said decided somebody else miss something somebody explain typical female aversion accountability,Non-Supportive,No,No
4147,looting starts shooting starts watch folks,Supportive,Group,Other
7949,like miscarriage part sensitive stuff would preferred used something else could said kid going homosexual,Non-Supportive,No,No
1755,thanks much creating sharing informative timely video great job keep netanyahu government genocidal criminals making ashamed jewish heritage aiding abetting netanyahu genocide biden government accessories crime making ashamed american fact netanyahu biden ignoring orders un international court justice shows exactly feel rule law believe applies like trump cronies first time forty years voting casting protest vote november financially support antigenocide candidates trump one cronies win punishment americans west surely earned result government support ongoing genocide karma wonder many patriotic americans feel way remember bush v gore,Non-Supportive,No,No
966,change mentality son bc get chance get attention crying man,Non-Supportive,No,No
7225,wait women needs go work help family husband kids need buy tampons pads medicines cramps wants nice bags clothes shoes etc time women body change need buy another clothes coz gained lose weight husband like cook clean house take care dogs wan na help bills mortgage etc save money future retired mean wrong independent woman money feels good give nice gifts simple say got babe worry nothings wrong independent woman,Non-Supportive,No,No
8245,hitreset horrible enough know experience lead special superhuman behavior human beings human beings know one thing muslims brought jews back jerusalem centuries ago knew problems future jews often happy live muslim country still iran christians hard time justice always win end paint jews one brush norman finkelstein kind man call zionist odds big punch high tell hey zionist comm weird expect people live like would freshly freed concentration camp let people reading maybe horrible enough still understand kind thinking leads war like propaganda,Supportive,Group,Religion
4800,one wants career law enforcement high school look liked,Non-Supportive,No,No
4560,connected minneapolis incident person shrugginglight skin tonemale sign another excuse f around riot loot,Non-Supportive,No,No
3274,lord plssssss hear cry thoes want l peacsred heartred heartred heartred heartred heartred heartred heartred heartred heartred heartred heartred heartred heartred heartred heartred heart help lord dear parying,Non-Supportive,No,No
2004,one likes see kind thing similar clips israelis suffering like im sure impossible poor child understand elders brought,Non-Supportive,No,No
984,sympathy fkd straight stay husband tf divorced wtf,Non-Supportive,No,No
998,heart warming love palestine pakistan red heart,Supportive,Group,Nation
755,hello little man remember sweetheart knew nice people would take good care nice see feeling much better smile light room stay strong know hero like say thank beautiful gentlemen sharing love us around world globe showing americas please stay safe sending love blessings beautiful families always forever day god bless everyone sparkling heart sending message way nampa idaho usa truly sandra b red heartred heartred heartred heartred heartred heartred heartred heartred heartred heartred heartred heartred heartred heartred heartred heart,Supportive,Group,Other
6534,crazy look kkk video got millions viewers coverage supporting hate group millions trying label blm hate group,Supportive,Group,Black Community
6153,sad protesters drove cop away trying help man road expressionless face,Supportive,Group,Other
7861,either side hear personally straight plenty homosexual friends great ones homophobic friends also great friends traditional stereotypes gay foul disgusting immoral homophobic instantly makes evil sociopath something people could come accept homosexual people also respect homophobic saying either side correct wrong think believe respecting homosexual people also respect homophobic people simply impossible whole world agree something help disagree homosexual people like gay people stop sexual attraction towards people gender may agree respect needed thanks looking thread get chest homophobic friends discriminated lot even though really nice needed share thought,Supportive,Group,LGBTQ
7496,okay woman everybody please answer one question get special treatment female exhusband used bouncer bar go hang would see would put girls big hefty girls want get face listen sometimes need manhandled want stand dude going get body slammed like dude plain simple conversation sorry zero sympathy zero,Non-Supportive,No,No
7071,apparently term feminism primarily focused menhating sexism thought supporting fighting women rights nothing let alone sexistconfusion,Non-Supportive,No,No
4850,laam walaikum young brotha existence thank abdul qadar muhammadtyrone michael green cardiairphpawpnenjne,Non-Supportive,No,No
6204,evidence anyone needed charge want folk getting along new push helping black folk simply creates resentment pushed better good etc seemingly good sentiment fool many vast majority black people want special treatment begin insulting people played nothing shame,Non-Supportive,No,No
1138,scared plan long term holding hoping make passive income coins got wallet professional genuine trader advised manage account,Non-Supportive,No,No
6150,understand even jesus white man yet americans love,Non-Supportive,No,No
1972,thank wishing well everyone else well thanks paying forward,Non-Supportive,No,No
8509,keep looking love though found yet keep looking settle succeed one day lose faith like steve job kept looking loved learnt really interested love speech motivating makes think done thanks much speech,Non-Supportive,No,No
4355,fuck people cop would run,Non-Supportive,No,No
6669,reverse psychology manipulate black people lemon pet real white left racists guys understand media loves separate black white cause chaos need pay attention,Non-Supportive,No,No
9009,yes start investment many reasons invest bitcoin understanding market risks,Non-Supportive,No,No
9746,welcome islam bernadoz may allah make easy learn islam practice,Non-Supportive,No,No
3640,biden using proper jurisdiction defense identical israel defense argue merits essentially confession,Non-Supportive,No,No
7406,probably thought good enough stand man soon realized mistakeface tears joy,Non-Supportive,No,No
173,someone like reading love life waste time time life made lost time like run stocking man dares waste one hour time discovered value life pick something wan na today work hard achieve start procrastinate tomorrow tomorrow might long start one day share success story hard push hard really hard know also position currently loudly crying face give pray anyone reading might kind hardship receive peace success go prosper information giving till share success story need also mind thanks supporting channel folded handslight skin tone,Non-Supportive,No,No
1459,think invest expert nancy heard much good news,Non-Supportive,No,No
7318,understand public crying understand crying understand performative side,Non-Supportive,No,No
9549,thank allah beautiful big eyes reminds yr old little boy never deserved pain scare received night thank allah brining good hearted people aid forever god thank,Supportive,Individual,No
5525,really respect young boys performance touching,Non-Supportive,No,No
4250,straight went george started yelling name non stop,Non-Supportive,No,No
6760,black lives matter means hey lives matter nobody ever said live matter get head,Supportive,Group,Black Community
5036,potrugal cup penelty france penelties poland quarter finals,Non-Supportive,No,No
1182,muslim support palestine need human,Supportive,Group,Nation
5000,sant rampal ji maharaj ji told evidence yajurveda adhyay mantra kaviranghari asi bambhari asi svajyoti ritdhama asi means god kabir alone frees enemy sins frees bondage selfpublished bodily lives satlok sin destroyer,Non-Supportive,No,No
7718,video amazing sadly true straight friends understand different relationship someone sex,Non-Supportive,No,No
6177,seattle police attacks spray nurse helping injured protests 07252020 httpsskeptical annoyed undecided uneasy hesitantwwwyoutubecomwatch veiz9v zzsva featureyoutube,Non-Supportive,No,No
2153,every tears reach allah dont sorry kids red heartred heartallah give succes,Supportive,Group,Other
9407,speech unquenchable spark awaken humanity proud mamthumbs,Supportive,Individual,No
4351,get police wrong total social order breaking rioting violence arson going change years racism embedded country,Non-Supportive,No,No
6688,need understand blm movement read official blm website people join mob deserve zero respect knowingly unknowingly joining quazi communist victimhood currency identity politics antinuclear family movement read website already fyi support black people equally blm mob movement,Supportive,Group,Black Community
7381,know jail jobless probably beats girlfriend make feel like manbut coward flag comment want know truth stand facts,Non-Supportive,No,No
5755,used super open sexuality started noticing many homophobic comments remarks hear hugged friend spoke word since said anything sexuality anyone close friends scared,Non-Supportive,No,No
9596,nothing valuable sharing wisdom life experiences powerful true words,Non-Supportive,No,No
4969,motivation come videos even last days need find deep purpose continue tough journey deep purpose comes soul type videos trust watched hundreds thiswinking face good luck brothers sisters smiling face open mouth,Non-Supportive,No,No
1705,child pain like stand palestinfalestine,Supportive,Group,Nation
6906,1 man said universal truth face tears joy,Non-Supportive,No,No
6326,wat pisses fucking much white racist claim death black ppl white racist white ppl ppl racist double standard bull fucking shit,Non-Supportive,No,No
9274,understand human treat another human way plalestine long live palestinian history humanity remember forever inhumane acts forgotten,Supportive,Group,Nation
4142,dude jumps cruiser jumps gets knocked cant keep feet get mad lol shoulda pulled pants smh,Non-Supportive,No,No
7712,support gays even though figured sexuality preferences yet support homosexuals normal like us 3,Supportive,Group,LGBTQ
1730,oh single women wanting man got kids better humble fuck go alone gon na raise another man kids want family cumdumpster took years ago,Non-Supportive,No,No
1243,israel wanted end war last thursday hamas said free palestine hamas,Supportive,Group,Nation
3602,guys lots love hope guys allah,Supportive,Group,Other
300,may allah help give patience hope,Non-Supportive,No,No
6651,anybody answer theese people blm movement supportersconfusion want people want know exactly want order happy stop feeling opressed mistreated please anybody explain want dont want know feelings want specifik solutions responds even get interesting,Non-Supportive,No,No
4875,pleasure watching iphone pro makes mooore deep thank sj,Non-Supportive,No,No
3411,ronald respect never give rohnald,Supportive,Individual,No
1125,god bless country praying peace love,Supportive,Group,Other
3483,winter turn around west path oblivion led women invaders,Non-Supportive,No,No
4482,finally people rising good disgusting corrupt system,Non-Supportive,No,No
8898,teaches life livethanksa lot,Non-Supportive,No,No
1801,understand sang literally cried singing lots love india heart suit,Non-Supportive,No,No
5394,wish palestinians would stop warring ways live peace sake children,Supportive,Group,Nation
4502,lol blacks need culture change good see get mowed though,Non-Supportive,No,No
8722,palestinian lives jerusalem proud guys absolutely deserved golden buzzer hope go international help us spread life world,Supportive,Group,Other
7781,fact people problem sex love marriage outrageous wish one ever thought like never understand someone hate person loving someone sex terrible,Supportive,Group,LGBTQ
8017,creating hatred young boy help grow hate jews israel allies would,Non-Supportive,No,No
6842,bro understand percentagesface tears joyface tears joyface tears joyface tears joy proving african dude point,Non-Supportive,No,No
7200,man attracted independent women afraid loyalty,Non-Supportive,No,No
2792,definitely inspiring definitely need god control us,Non-Supportive,No,No
558,im sad people palestine kids lost theyre parents free palestine,Supportive,Group,Nation
9039,kid child probably every motivational speaker tbh guy shiiit,Non-Supportive,No,No
1604,assets make successful moment areembarrassed blushing,Non-Supportive,No,No
1966,first thing noticed video clips lack awareness accountability women especially first video saying choice sorry always choice even choice made came back bite later life,Non-Supportive,No,No
5167,lesson speech th std damn inspiring,Non-Supportive,No,No
3690,yeah live selfish society reality,Non-Supportive,No,No
5122,benjamin vos mean yeah pretty normal right come wan na take country make supposed clap lol idiots everywhere oh rockets nothing like actual bombs idiot,Non-Supportive,No,No
5724,missing husband missing workless comfy days,Non-Supportive,No,No
676,hypocrisy country news channel says stands palestine also recognizes israel,Non-Supportive,No,No
837,mj goat generation time move love larry bird said battle time move never hear say anything stephen curry accomplished,Non-Supportive,No,No
6561,blm movement complete joke bigger problems worry throwing hissy fits street think white people racist cops abolished tensions rising around globe verge war coronavirus economy shutdown millions people jobs standing united states seem united,Non-Supportive,No,No
9352,starting video curious blame feminism media education system boomers politicians supporting else,Non-Supportive,No,No
8179,want start family men realize determine relationship goes one proposes women wait years relationship find ex getting married six months breaking men women need grow humble sleepy facesleepy facesleepy face,Non-Supportive,No,No
5345,innocent people dont deserve theyre trapped conflicts centurys ago sorry child cause theyre terrorist leaders evil intentions thats people suffering god mercy thi people nonsense war leaders fighting countries cant eat swallow pride fir sake theyre people love people chosed govern people crying facecrying facecrying facecrying facecrying facecrying facecrying facecrying facecrying facecrying facecrying facecrying facecrying facecrying face,Non-Supportive,No,No
9425,heartbreaking wallahi see kid tired yaa rabbi loudly crying face,Non-Supportive,No,No
1308,one supports israel winners war,Supportive,Group,Nation
1312,alhamdulillahi rabil alamin praying love long safe something eat place sleep rest come back time inshaallah prayers may allah give us victory kafirun amen ya rab,Supportive,Group,Other
2670,evil hands hamas leader luxory mansion miles miles away,Non-Supportive,No,No
3900,red heartlove woman stand giving perfect relationship,Supportive,Individual,No
6269,get blm racism racism never heard blm supporter condemn racism bigotry toward white people kinda funny huh,Non-Supportive,No,No
