id,comment,task1,task2,task3
3055,Dios creo la cienvie para que el humano la descubriese? :v,Non Support,No,No
3026,"Quisiera ver el debate entre un borracho ateo y uni religioso, seguro que hasta entre los dos descubren los secretos del universo :v",Non Support,No,No
446,"Perdón pero... el muñeco del final parece que tiene un cuerpito hecho de palos kskahkssj
Son sus manitas, pero lo quería decir xd",Non Support,No,No
787,Pues en mi humilde opinión está mal ser gey hay que tener la fuerza para aceptar lo que eres no me vengan a meter mamadas en la cabeza eso está mal y punto,Non Support,No,No
118,Una Reyna 🎉lo bueno que los próximos olimpiadas es casa 🏡 en los angeles California,Non Support,No,No
2221,Seguidor menos,Non Support,No,No
412,No tiene mucho sentido que dijamos pero bueno lo que deberían ASER es solo ser quien sea y ya,Non Support,No,No
1756,"Si si, yo ya tengo todo predeterminado",Non Support,No,No
1229,Pregunta que es antro sexual? Es una persona que no sabe su sexualidad o que es,Non Support,No,No
3167,"Muy buenos tus videos, excelentisima idea de hablar de Dios en las redes sociales, mis respetos; tienes los pantalones bien puestos, saludos desde Mexico 
una duda ¿QUE SIGNIFICA GTG?  Tienes un suscriptor mas DTB! :D",Support,Group,Religion
1556,Mano yo llegue aca porque me salió y ya,Non Support,No,No
1045,"Hola! me gusta mucho tu contenido, pero en este video hay algo de desinformación. 
Primero, las orientaciones NO van por sexo, sino por identidad/género, como persona trans, el que se siga diciendo que van por sexo es muy molesto e incómodo. 
También la definición dada de ser trans, tiene algo de transfobia, ya que no se ""cambia"" de género o identidad, sino que la identidad/género con el que se identifica es diferente al género que se asignó al nacer.
En definición de ""Queer"", si no me equivoco, añadiste el símbolo de lucha ""queergender"", que tiene otra definición.
Además, el uso de las ""banderas"" cis y hetero no son validas, ya que, las llamadas banderas, en realidad son símbolos de lucha, y las personas hetero-cis, nunca han tenido que luchar por ser respetadas, validadas, etc. 

No quiero que parezca hate, solo quería aclarar esto, saludos y espero me leas:]",Non Support,No,No
1648,Y hoy es mi cumpleaños oh no sabía que también se celebraba,Non Support,No,No
3117,por que haces el simbolo satanico con tus manos?,Non Support,No,No
152,Fue increiblee!!! Felicidadess!! Desde el principio empezaste con todo!! ❤🎉 lo mereces!!!!,Support,Individual,No
2536,Yo soy bi ❤️,Non Support,No,No
543,"Hola Psych2Go cree que podria hacer un video en donde me ayude o me diga que hacer cuando mi novio no se siente suficiente en la relación?
 Gracias. Necesito ayuda 🥺🥺
Saludos",Non Support,Group,LGBTQ
2033,"Todos somos humanos, todos nacemos, crecemos y morimos, tenenemos un hobby, infancia, pasamos por la pubertad, nos ganamos la vida, hemos hecho estupideces y hemos actuado como imbéciles, cometemos errores pero también somos sinceros, amamos nuestra gente que vale oró, como familia, amigos y por supuesto pareja, pero lo más importante...
Todos somos el ser humano, Dios nos creo y nos mando a la tierra por un solo objetivo, ser feliz en la vida y descubrirla ;)...",Non Support,No,No
9,"Que orgullo toda una ganadora!! 🎉❤Por fin se nos hizo a los mexicanos escuchar nuestro himno tan hermoso en París, gracias!!! Disfruta tu triunfo, bien ganado!! ❤🎉",Support,Individual,No
1509,Orientacion?... eso con que se come?,Non Support,No,No
1780,Soy pan genero y recien me entero 🤣🤣🤣,Non Support,No,No
2712,"Aché mi negra, conmigo tampoco nunca han podido. Ni podrán! Este documental es material histórico del racismo en Cuba! Gracias por subirlo!",Non Support,No,No
2332,Apollo a LGTBT,Support,Group,LGBTQ
1787,Me gustaría que hagan un vídeo un poco más largo explicando todas las banderas que están dentro del LGBT :),Non Support,No,No
1084,creo que soy trasexual porqur cuando veo transformes me ecsito,Non Support,No,No
1202,"yo soy bi uwu
sos el mejor youtuber y sos lindo 0w0",Support,Individual,No
598,"""Homosexual: te gusta una persona de tu mismo sexo"" y unos segundos antes dijiste ""sexo: biología"" (lo cual es cierto).
Mas delante dices que gay y lesbiana pertenecen a homosexual. 

Tu video ""dando a conocer"" las orientaciones es transfobico, mas bien lo que haces es hacer que mas personas tengan una mentalidad como la tuya.",Non Support,No,No
2714,Cuba con respecto a otros países con respecto al racismo esta mejor,Support,Group,Nation
2389,Hooo ya entendí gracias,Non Support,No,No
2996,man habla de los catolicos y los cristianos............... para ser mas clara de las religiones,Non Support,No,No
1665,Soy una roca,Non Support,No,No
3020,"5:00 Error, debiste haber dicho: ""Se que da corta de responder ciertas preguntas que van más allá de lo que tus *SENTIDOS* pueden *PERCIBIR* "" .",Non Support,No,No
1704,yo soy lgbt pero este video me hizo entender que no importa el genero que seas se tu mismo,Non Support,No,No
2465,"LPM SOLO HAY DOSSS, DOSSSS!!!!, 2!!!!, GENEROS, POR QUE LA JENTE NO ENTIENDE!!!",Non Support,No,No
3069,QUEDO CORTO PARA MI CREO QUE AUN TENES MAS QUE DAR .. MUY BUENO HAHAHA SIGUE ASI.. LA SABIDURIA VIENE DE DIOS.,Support,Individual,No
736,Ya me confundí co.  no soy gay si soy  gay   ya  no se,Non Support,No,No
2386,Los únicos géneros que existen es hombre y mujer los demás son gustos y si no les parace díganme tienen otro tipo de aparato reproductor?,Non Support,No,No
1615,soy hetero y asexual :>,Non Support,No,No
2272,Los generos son para la musica no para la gente.,Non Support,No,No
510,orgullosa de mi homosexualidad 😂,Support,Group,LGBTQ
2532,"Buen vídeo 👏 para festejar 😃 el día del orgullo 🏳️‍🌈 mereces muchos likes y corazones 👍❤️👍❤️👍❤️👍❤️👍❤️👍❤️👍❤️👍❤️👍❤️👍❤️👍❤️👍❤️👍❤️👍❤️👍❤️👍❤️👍❤️👍❤️👍❤️👍❤️👍❤️👍❤️👍❤️👍❤️👍❤️👍❤️👍❤️👍❤️👍❤️👍❤️👍❤️👍❤️👍❤️👍❤️👍❤️👍❤️👍❤️👍❤️👍❤️👍❤️👍❤️👍❤️👍❤️👍❤️👍❤️👍❤️👍❤️👍❤️👍❤️👍❤️👍❤️👍❤️👍❤️👍❤️👍❤️👍❤️👍❤️👍❤️👍❤️👍❤️👍❤️
PD: espero el siguiente video pliiiiiis 👏✨😎💯🥰👍😊❤️👌😈🔪",Support,Group,LGBTQ
2720,Por favor vuelve a invitarla !! Me fascinó,Support,Individual,No
753,"soy sapio sexual.... y mira que no sabia :v me doy cuenta por que el amorsh de mi vida era ingeniero, sabia chino, ingles, su idioma natal el español (fallecio hace 2 años y aun me duele y no eh intentando nada con nadie por que no puedo) y en su momento me senti muy atraida por mi profesor de comunicacion cientifica, llegaba asi bien vrgas hablando en latin al salon",Non Support,No,No
1144,"Bisexual y poliamorosa : siento atraccion de un hombre y una mujer pero a la vez quiero mas parejas pero casi siempre no sale ;c 
:3 <3",Non Support,No,No
2555,Descarao,Non Support,No,No
2138,Solo hay dos géneros lo demás son mamadas que crearon accidentalmente,Non Support,No,No
2375,Sólo existe dos genoros masculino y femenino nada más los demás son una   hevada,Non Support,No,No
1765,"Etiquetar es la moda de hoy, aún cuando siempre se nos enseñó a evitar usar las etiquetas con las personas. Qué sigue?",Non Support,No,No
2090,quememos los libros de biologia JASKJAJKJA,Non Support,No,No
66,"Que momento ver la bandera de México en lo más alto del podio, increible Gloria Zarza!",Support,Individual,No
1928,Que gey,Non Support,No,No
1715,"si son hombres pero les gusta los hombres esta bien pero no pueden ser mujeres no pueden ser no binario que ridiculo, cambio de genero no existe, porfavor dejen de MOLESTAR CON ESO.",Non Support,No,No
384,ORGULLOSO DE SER BISEXUAL 🎉🐍💃🕺🕺🙏,Non Support,No,No
1997,"Ah bueno, pues me identifico con la letra A",Non Support,No,No
908,Solo a la orientación que le doy mis respetos son a los Heteros *música hetera*,Non Support,No,No
2311,Y los que son del BDSM. porque no son comentados?,Non Support,No,No
338,"Esta re ciego el comentarista, no que muy buena barrida! 😅 Y era penal",Non Support,No,No
321,ME GUSTA ESTA GENERACION TIENEN PERSONALIDAD ..😊,Support,Group,Other
2981,"La idea no es nombrar los ya trillados errores de las religiones, porque si ese es el caso podría citarte Hiroshima y Nagasaki, Chernobyl, las armas químicas, y que gracias a la ciencia tenemos ya el botón para destruir el mundo. La idea es cual debería ser el propósito de ellas, porque si miramos al pasado, el cual es un error ético y no cientifico ni religioso. Ser mejor persona no lo hace una religión, eso es un aspecto social de convivencia humana.",Non Support,No,No
1464,"Yo soy hombre biológico, me siento masculino pero solo siento interés sexual por las mujeres, no romántico. Cómo se le llamaría?",Non Support,No,No
1743,Gay es gay y me alegro que ya termino esta mierda,Non Support,No,No
2142,"Para mí siempre van a existir dos géneros y 73829191 orientaciones sexua/es, gay, lesbiana o bi, y hasta ahí :^",Non Support,No,No
2481,cuánta ideología en un solo video por dios,Non Support,No,No
2662,Me gustaria salir con una mujer afro son hermosas ojala me escriban abajo el racismo un beso a todas las hermosas mujeres afro,Support,Group,Black Community
1656,"FELIZ DIA DEL ORGULLO 🥳🥳🥳🥳🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈
yo soy ASEXUAL
⬛⬛⬛⬛⬛
🤍🤍🤍🤍🤍
⬜⬜⬜⬜⬜
🟪🟪🟪🟪🟪",Support,Group,LGBTQ
1874,"Yo te admiraba, pero ahora.. 🤯",Non Support,No,No
3141,suficiente con ser buena persona no estar como pendejo creen en seres imaginarios,Non Support,No,No
1664,Que asco,Non Support,No,No
3223,VAMOS PANAMÁ!! DESDE ARGENTINA ️,Support,Group,Nation
1504,"Soy un chico trans, gay y demisexual 😿",Non Support,No,No
2328,QUE ASCOOOOOO🤢🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮,Non Support,No,No
2786,😂😂😂😂😂😂😂😂😂 la iglesia católica es la antigüedad religión del imperio romano no es del yaweh o Yashua,Non Support,No,No
2982,Quiero la segunda parte!!❤ Te felicito Carlos! He quedado encantada con tus videos! Saludos desde Argentina!!,Support,Individual,No
2911,Desde mi punto de vista la religión es literatura y la literatura ha servido para manipular a los pueblos a través del tiempo. La ciencia en cambio describe el mundo como lo vemos pero no nos da las respuestas metafísicas que suele dar la religión.,Support,Group,Other
1641,"Nunca entendí la diferencia pero este vídeo me hizo entenderla
Atte: Una pansexual",Non Support,No,No
2990,"que se arme el salseo!
 Carlos publica un video hablando del ""origen de las especies de Charles Darwin!
Esto se va a descontorlaaaaar",Non Support,No,No
2474,"No entendi nada, entendi poco",Non Support,No,No
1771,"Solo existen ""dos"" sexos, acaso se les olvidan a los intersexuales
Género no binario, es mejor decir ""identidad no binaria"" así para que la gente no mal entienda, se confunda y empezando a buscar la maravillosa biblia .___.",Non Support,No,No
1182,Yo soy heterosexual porque a mí me gusta el género opuesto al mío,Non Support,No,No
1404,Holi aquí pansexual 💗💛💙,Non Support,No,No
2928,"Quien posee Ciencia y Arte también tiene Religión; quien no posee una ni otra,  ¡tenga Religión!  

¿Alguien que me explique esta frase?
Por favor.",Non Support,No,No
1962,Cuanta memez hay que leer🤦‍♀️,Non Support,No,No
1247,Soy una mujer Cis-Genero y arromantica! Aunque aun no se lo dije a nadie porque siento que estoy chica para decidir mi orientacion..,Non Support,No,No
34,Qué gran logro para ella cumplió su objetivo y que orgullo para Mexico. Muchas felicidades.,Support,Individual,No
1568,"Amo tus videos, son increíbles y además aprendes sin aburrirte <33
Y soy género fluido y pansexual 💞",Support,Individual,No
457,"Me gustaría que hablarán sobre el arromanticismo, ya que casi nadie habla sobre el",Non Support,No,No
3101,el ser humano le teme a lo que no conoce de hay viene que si la ciencia no explica algo entonces los religiosos lo agarran de excusa y dicen que existe un dios que solo aplaudio y se hizo el mundo.,Non Support,No,No
844,Una pregunta mi hija me dijo que es lesbiana pero quiere que la llame como varón y que tiene una novia que también dice que es el . qué serían gays mujeres no lesbianas es así?,Non Support,No,No
1071,Ayuda como les digo a mis padres q soy bisexual?,Non Support,No,No
681,Solo hay 2 géneros ._.,Non Support,No,No
242,"Yo quiero que Cristopher gane aunque sea una medalla olímpica, si que lo merece...",Support,Individual,No
2107,jajajaa pinches gays,Non Support,No,No
362,"feliz mes del orgullo, yo creo que soy pan",Support,Group,LGBTQ
2382,"Interesante pero en biología solo hay 2 terminos femenino y masculino, y en el adn, y la ciencias forenses, q existan un número de.enfermos mentales en la parte occidental del planeta q no saben q quieren en la vida es otra cosa",Non Support,No,No
2905,"Imaginate un mundo sin ciencia, ahora imagínate un mundo sin religiones, bueno cual es la que a aportado más a la humanidad...?",Support,Group,Other
776,Bola de gentre enferma esta mas perdidos que un perro amedia de una carretera ubicense bola pnj/a  no son lo que piensan son hombres o son mujeres con esecion de las emafroditas,Non Support,No,No
443,:0 :P pansexual pese que era enamorase de un pan 🍞,Non Support,No,No
87,Actualmente se le está poniendo más seriedad a los juegos paralimpicos y casi es igual de meritorio ganar una presea en juegos olímpicos como en juegos paralimpicos.... Felicidades México 🇲🇽🥇👏👏👏,Support,Group,Nation
556,Androsexualidad: Amor entre Androids 😦,Non Support,Group,LGBTQ
329,Levanten la cara para ver a la mejor posicionada.,Non Support,No,No
1179,Solamente le tengo confianza al furry fandom para decir mi sexualidad,Non Support,No,No
2752,"También están otras religiones de la misma iglesia católica que por motivos internos de filosofías que ya no comparten con las que se han separado dela católica.La anglicans,ortodoxas,abrahamicas y protestantes que también  creen en Jesucristo,a esepsion de los judíos y el islam...Las religiones abrahamicas y cristianas,el común denominador es el castigo de Dios por cualquier motivo que el llamado pecador ha echo;y son castigos crueles que manera sádica lo mandan al infierno para toda la eternidad...",Non Support,No,No
2775,hay inumerables milagros y todabia preguntan cual es la verdadera,Non Support,No,No
432,"Soy Hetero pero no juzgo a las personas que tienen diferentes orientaciones, mientras no le hagan daño a otras personas y no usen niños para promoverse",Non Support,Group,LGBTQ
2873,"Soy estudiante del campo social y voy a tratar de explicar sencillamente, no es que la ciencia y la religión sean incompatibles o compatibles,hoy en día se estudia la religión como un elemento que hace parte de los códigos culturales de una sociedad,un elemento importante dentro de lo humano,ahora si el dilema de que dios existe o no. bueno los dioses  solo  son construcciones  culturales,si hay gente que no quiere aceptarlo. bueno su opinión personal no es relevante en la comunidad científica.",Non Support,No,No
1307,soy un transformer.,Non Support,No,No
2155,Soy optimus prime,Non Support,No,No
1717,eteros,Non Support,No,No
3215,Viva México 🇲🇽🇲🇽🇲🇽🇲🇽 arriba mis mexicanos,Support,Group,Nation
2746,"Cualquier religión que presente a un dios justo y amoroso, que a la vez castigue para siempre a las almas en un infierno, esa no es",Non Support,No,No
2455,"Pura patraña sectaria. Esto es otra tribu urbana pero que la sociedad consumista y sus respectivos lobbys políticos, lo han adquirido porque le ven un provecho y potencial bestial. En fin. Vamos de mal en peor de verdad...",Non Support,No,No
1342,A entonces soy bisexual pero no puedo serlo con libertad por qué mí mamá es Cristina y no le gusta eso a si que no me queda de otra😭,Non Support,No,No
2841,calmate no es para tanto,Non Support,No,No
1303,"Porfavor se las pido no le cuenten a nadie, yo me considero gay. Solo que aún no estoy listo para contárselo a todos. Siento que me van a rechazar y no van a quererme.",Non Support,No,No
1471,porque no solo existen 3 diferestes hetero omo lesbianas,Non Support,No,No
1657,Soy Hetero 😎🤑🤑🤑🧐🥂,Non Support,No,No
2488,feliz dia jente lgtbiq pasenla bien aunque no soy un lgtbiq,Support,Group,LGBTQ
2060,Miércoles no me tuve que meter aqui,Non Support,No,No
95,"QUE ORGULLO QUE EMOCION, SE ME SALIERON LAS LAGRIMAS, VIVA MEMXICO",Support,Group,Nation
20,"Hizo realidad nuestro sueño de escuchar nuestro himno en Paris!! 
Gracias gracias gracias!!!",Support,Individual,No
744,Weyyy yo veo tus shorts y me imaginaba tu voz distinta xD la imaginaba más aguda,Non Support,No,No
2279,Yo soy No binario y Lesbiana 🏳️‍🌈💋,Support,Group,LGBTQ
2590,Nunca entendi ese tema asi que muchas gracias,Non Support,No,No
1154,"Me van a linchar pero ya que.....osea no manchen jaja solo hay dos generos y un chingo de gustos y ya , por que le buscan tanto...y no el queer es lo mismo que no binario? Ósea confunden. Bueno adios besitos cuídense.",Non Support,No,No
2930,"La ciencia nesecitas pruebas, se basa en la observacion y la comprobacion, la religion se basa en la fe, que es la creencia en la ausencia de pruebas, no hay interseccion posible.... el conocimiento adquirido por la ciencia es limitado, pero nuestra capacidad de seguir aprendiendo no lo es........los espacios donde la teologia brinda respuestas son cada vez mas reducidos, dicen como no lo puedes explicar con la ciencia, la respuesta es dios,,,,eso es  falso la respuesta es NO LO SE. pero sigo investigando para averiguarlo",Non Support,No,No
1058,"No aparezco:v 
Soy aroace",Non Support,No,No
748,"Hola, soy una chica hetero, pero tu información me ayudo a comprender un panorama mas amplio en cuanto a la diversidad de las personas, muchas gracias por tu contenido, es super dinámico 💕",Support,Individual,No
1606,Yo soy aromántica y se dice que es igual que asexual,Non Support,No,No
2318,"creo en dos cosas: 1.- las personas pueden creer que son lo que quieran, siempre y cuando no obligues a otros a verte de la misma manera. A que voy con esto, tu puedes sentirte, hombre, mujer, hechicero, guerrero de la época medieval, etc, etc, etc. pero no puedes obligar a que los demás te vean de la misma manera porque es completamente imposible y en contra de la libertad porque los estas adoctrinando. 2.- la libertad de elegir quien queremos ser nos fue otorgada por la naturaleza y el limite es el cielo.
como ultimo van varias dudas que siempre he tenido viendo las cosas que están sucediendo en el mundo:
¿Porque la comunidad LGBTIQ+ pide tolerancia hacia ellos pero aun así son intolerantes con los que piensan diferentes a ellos?",Non Support,No,No
234,"Estuvo cardiaca la última parte pero afortunadamente el mexicano ganó el bronce 

🇲🇽🥉

Muchas felicidades!",Support,Individual,No
2313,"Lo siento, no apoyo ni respeto esta comunidad (no. Porque sean gays si no las cosas que hacen)  por esa misma razón de querer ser superiores por gustarles algo que se debe normalizar no  hacerlo superior. yo solo respeto a un gay, bi o lesbiana normales, o trans porque son normales (más bien respeto casi todo en general XD)

No a weones pesados que te recalcan su orientación y se creen pokemones por creer que existe más de 2 géneros  ¯\_(ツ)_/¯
Pd: llámenme homófobo pero si quieren pero solo los dejará ver cómo ignorantes",Non Support,No,No
2187,Feliz día del orgullo<3,Support,Group,LGBTQ
2435,Me gusto como explicastes,Support,Individual,No
2459,Hoy me siento como una play 4,Non Support,No,No
1486,"S3xo: femenino
Genero: Genero fluido
Orientación: demi y pan...",Non Support,No,No
1709,"Empresas cuando termina junio: sáquese

Da algo de pena que solo lo hagan por marketing, pero bueno.",Non Support,No,No
2790,Este si que está perdido Pero. El no lo sabe. O se hace.,Non Support,No,No
2795,"Sin duda alguna, La iglesia católica es la única iglesia fundada por el mismo Jesucristo, No hay otra Mateo 16,18 Dios les bendiga!",Support,Group,Religion
980,Para cuando se actualiza el vídeo?,Non Support,No,No
799,Weyes me van a funar pero vi el titulo y en mi mente apareció el elenco de hazbin hotel,Non Support,No,No
3169,muestra que tu Dios existe payasos,Non Support,No,No
233,"Que impresionante, me emocioné hasta las lagrimas. ¨Mi admiración para Ángel, que orgullo que sea mexicano, Felicidades!!",Support,Individual,No
2616,"11:49 claro como no podia ser de otra forma, imaginate un blanco en nigeria diciendole al pais racista porque no tienen blancos en su gobierno, para estas personas como es costumbre el racismo solo funciona en un solo sentido. A lo que hemos llegado que uno tiene que ver y escuchar estas estupideces ya lo unico que falta es que acusen a las familias blancas de racistas por no tener negros dentro de la familia final",Non Support,No,No
2399,Gracias por esta explicación ya que tengo una amiga que es de género fluido y ella me abrió ese mundo que no sabía que era grande:0,Non Support,No,No
3071,"Me encanta William Lane Craig , recomiendo buscar vídeos de él.",Non Support,No,No
258,"Señoras y señores...el Triton de México no tiene 4 extremidades ..tiene solo 1a pero su corazón y su gallardia es infinita, se apellida Castorena...y es nuestro gran Campeón....!!!",Support,Individual,No
2500,"Solo hay 2 géneros
Gay eres hombre suites siendo hombre
Lesbiana eres mujer sigues siendo mujer
Trans cambias e genero",Non Support,No,No
62,Muchas felicidades Gloria!!! Llevas el éxito en tu nombre!!! Eres un orgullo para nuestro país!! Dios te bendice 🙏💞💐,Support,Individual,No
2719,"No al ateo, no le sirve ser bueno,, sino creyó en Jesús,, ya perdió su salvación el ateo,, no es verdad de lo que dice la chica católica ,, porque no es por obras para que nadie se gloríe,, es por gracia , un don de Dios en Cristo Jesús,,  vez el catonismo no conoce la doctrina de Jesús s, y sus apóstoles, los apóstoles no tenian la mentalidad sesgada  que tienen los católicos,, ,, y dicen venir de los apóstoles, ,, ya vemos que no,,  aun le falta conocimiento a la chica, sobre la doctrina de JEsus,, y testimonio,",Non Support,No,No
1206,Tienes un canal doble?,Non Support,No,No
638,Una pregunta que generó es el que le gusta mayores 🤨,Non Support,No,No
2165,"En realidad hay dos géneros el masculino y femenino, no porq ahora vengan con q soy nose mmm trans es un género.
Digan la verdad por una ves en la vida",Non Support,No,No
1545,yo soy lesviana y cuando le dije a mi mama me echo de la casa me quede con mi mejor amiga la unica persona q sabia q soy lesbiana {ella vive sola con 2 gatos} y ps una cosa dio a la otra y perdi la virginidad con ella desde  eso no ablo con mi mama pero consegui una ermosa novia y planeamos mudarnos pero bueno en fin hasi es la vida  plis q mi mama no vea esto amen,Non Support,No,No
853,Gracias yo soy una persona género fluido nací siendo mujer pero nunca me sentí identificada con mi genero incluso me ponía el cabello de una manera para que parezca de hombre y tod@s mis compañer@s me decían que me veía mejor como hombre y mis papás siempre fueron y son homofóbicos... En fin hoy soy una persona y me siento aveces cómo chica y la mayoría como chico  gracias por aclarar mis dudas 🛐😊,Non Support,No,No
2158,Chale nos traicionastes (se de suscribe),Non Support,No,No
766,Nunca he visto tantas pelotudeces juntas,Non Support,No,No
1242,Yo soy bisexual me gustan los dos géneros y por lo q vi también poliamoroso por así decir me pueden gustar varias personas,Non Support,No,No
1346,Yo soy niña y soy normal soy de un género el género es: niña y me conformo con los niños😊,Non Support,No,No
573,Por favor haced uno hablando de unos cuantos géneros (no todos pq son muchos),Non Support,No,No
1772,Feliz día del orgullo🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈,Support,Group,LGBTQ
453,Creo ser grisexual 😶,Non Support,Group,LGBTQ
617,Soy bisexual y lesbiana 🏳️‍🌈,Support,Group,LGBTQ
682,"Yo estoy algo confundida ya que yo no se que orientación sexual tengo , osea no sé si soy bisexual, si soy hetero, si soy lesbiana, no se , estoy confundida, si alguien sabe cómo se llama ese estado que me lo diga plis
Aunque fuera de eso creo que soy bisexual porque me gusta mí mejor amigo y me gusta mi compañera de banco 
De hecho me bese 14 veces con mí compañera de banco y con mí mejor amigo digamos que un poco menos, pero ese no es el punto, sino que creo que sería ""no binario"" en caso de orientación sexual",Non Support,No,No
80,VIVA MEXICO!,Support,Group,Nation
1246,"Yo soy bisexual pero respeto a las personas de diferente genero como gays,lesbianas,bisexuales,etc.",Support,Group,LGBTQ
2079,"Yo soy Tetraedio....!
Lo acabo de crear y si no lo aceptan,  😅😅😅😅",Non Support,No,No
2347,Sólo ay dos pinches generos,Non Support,No,No
2105,Soy un Transformer :)),Non Support,No,No
1747,"Yo me autopercibo como Superman, y soy solsexual😂",Non Support,No,No
1695,Una  sociedad hipersexualisada ese es el problema,Non Support,No,No
434,Feliz de apoyar aunq mis papás no los apoyen (bisexual por delante) 🏳‍🌈,Non Support,No,No
1575,Que es un heterocuriosos mi amiga me dijo que era eso al contarle mis problemas con que sexualidad soy,Non Support,No,No
3221,Felicidades panamá por la victoria saludos desde colombia,Support,Group,Nation
1499,Creo q soy Bisexsual  o transgenero xD,Non Support,No,No
2848,"Ciencia: No lo sé, no puedo probarlo, habría que investigar.
Religión: Lo sé todo, no me contradiga hereje.
Las dos cosas no pueden ir de la mano, la religión es creer sin ver, y simplemente la gente decide creer en algo porque si, la ciencia es basarse en evidencias, pruebas y observación.",Non Support,No,No
2527,"Entonces yo sería... 
Un sexo masculino asignado al nacer, mi orientación sexual es bisexual y mi género ... no tengo idea en esa parte jajsjaja",Non Support,No,No
1571,Solo existen dos tipos de generos,Non Support,No,No
2478,Me siento identificadocon una Play 4 like si te indetificas con una play 4,Non Support,No,No
3243,"Mi abuela venía de Tampico con rangos negros y familiares negros, con la mezcla de van perdiendo un poco los rasgos. Pero aquí no tenemos racismo contra los negros.",Support,Group,Black Community
708,Yo soy lesbiana abiertamente  pero aún no les he contado a mis padres. Me respetan y aceptan como lesbiana y lo sé pero igual prefiero que se den cuenta el dia que presente a alguna novia. (Si consigo una),Non Support,No,No
289,Cuando las cosas se hacen bien y con el talento de las chicas se puede llegar lejos👍,Support,Group,Women
2469,¿Género mobiliario?,Non Support,No,No
1838,Amigo has la leyenda de la madremonte,Non Support,No,No
2250,Y yo soy bisexual,Non Support,No,No
2785,Eso mismo dicen los judíos sin creer en Jesús.Menudo lío.Un solo Dios y miles de religiones.En la moral son todas estrechas y locas.Zoroastro 600 años antes de Cristo dijo lo mismo que Jesucristo .Y vivió las mismas cosas.,Non Support,No,No
2117,Vivan los LGBT,Non Support,No,No
2989,Buscar en la ciencia una respuesta para Dios es como desarmar un piano para buscar una cancion.,Non Support,No,No
1892,"Les digo que no es por ser homofobico y esas cosas, pero yo actualmente vivo en Estados Unidos y en mi escuela donde estudio ahora, hay un Chingo de banderas y comida vegetariana",Non Support,No,No
1890,Hoy día es el día de la heterosexual,Non Support,No,No
810,"Me gustan los gay y ni se cual es mi etiqueta
Soy morra por sierto",Non Support,No,No
1035,Soy pansexual por que me gusta el pan,Non Support,No,No
2741,"Toda religión és sinonimo de alienación mental. El ser humano no necesita de ninguna religión. No se piensa mas con razón y lógica, 
son tontos retardados incautos que no se dan cuenta que apenas estan siendo manipulados. Todas las religiones te esclavizan y te 
dicen lo que tienes que hacer y blá blá bla. No necesitamos de dios o dioses para ser felices y llevar una vida plena y placentera.",Non Support,No,No
783,"Soy bi, cis-género, polysexual-
Al parecer, con toda la diversidad de hoy en día, es muy probable que la mayoría del mundo sea LGBTQ+",Support,Group,LGBTQ
2355,"Osea yo los respeto tal vez ,pero no tienen que ser asi porque son así 
Como Netflix estaba re normal y ahora están por todos lados esos ""generos""👽",Non Support,No,No
629,"Yo soy mujer y me gustan los hombres xd, osea soy normal :D solo vine para informarme y respetar y no reírme de los que no lo son para mi, osea yo soy un tanto homofóbico, y aveces sin darme cuenta excluyo o insulto a los LGBT, intento respetarlos lo más que se puede, osea soy muy bipolar porque como soy Otaku obviamente veo Yuri y Yaoi XD UwU espero me hayan entendido, ah otra cosa bisexual es que tegusten ambos géneros? Y que pasa si te gustan los no binarios o los fluidos? Cómo se les llamaría a esos?",Support,Group,LGBTQ
1605,Arde cabron!!,Non Support,No,No
2366,Pero les gusta los hombres ?  O no?,Non Support,No,No
